student_id,automaticScore,totalScore,H_1,H_2,H_C,Score_1,Score_2,Score_C
89589,1,1,1,1,2,1,1,2
164562,0,0,0,0,0,0,0,0
66987,1,1,1,1,2,1,1,2
35780,1,1,1,1,2,1,1,2
141559,1,1,0,1,0,0,1,0
37806,0,0,0,0,0,0,0,0
102967,1,1,1,1,2,1,1,2
51988,1,1,1,1,2,1,1,2
75792,1,1,1,1,2,1,1,2
152461,0,0,0,0,0,0,0,0
63116,1,1,1,1,2,1,1,2
82110,1,1,1,1,2,1,1,2
9551,1,1,0,1,0,0,1,0
79148,0,0,0,0,0,0,0,0
169653,0,0,1,0,1,1,0,1
32143,1,1,1,1,2,1,1,2
140708,1,1,1,1,2,1,1,2
67038,0,0,0,0,0,0,0,0
875,1,1,1,1,2,1,1,2
41518,0,0,0,0,0,0,0,0
111446,0,0,0,1,0,0,1,0
66994,1,1,0,1,0,0,1,0
21546,1,1,1,1,2,1,1,2
121617,0,0,0,0,0,0,0,0
33068,1,1,0,1,0,0,1,0
95169,0,0,0,0,0,0,0,0
130794,1,1,1,1,2,1,1,2
83808,0,0,0,0,0,0,0,0
111268,1,1,1,1,2,1,1,2
68165,1,1,1,1,2,1,1,2
18114,1,1,1,1,2,1,1,2
106473,1,1,1,1,2,1,1,2
2216,1,1,1,1,2,1,1,2
126349,1,1,1,1,2,1,1,2
78017,1,1,1,1,2,1,1,2
148316,0,0,0,0,0,0,0,0
21213,1,1,1,1,2,1,1,2
58672,0,0,0,0,0,0,0,0
115446,1,1,1,1,2,1,1,2
98979,1,1,1,1,2,1,1,2
152341,1,1,1,1,2,1,1,2
138729,1,1,1,1,2,1,1,2
3123,1,1,0,1,0,1,1,2
22907,1,1,1,1,2,1,1,2
145030,1,1,1,1,2,1,1,2
19456,1,1,0,1,0,0,1,0
113235,1,1,1,1,2,1,1,2
71952,1,1,1,1,2,1,1,2
108843,1,1,1,1,2,1,1,2
86330,0,0,0,0,0,0,0,0
38353,1,1,1,1,2,1,1,2
138878,0,0,0,1,0,0,1,0
84377,0,0,0,0,0,0,0,0
50213,1,1,0,1,0,1,1,2
50030,1,1,1,1,2,1,1,2
64941,1,1,1,1,2,1,1,2
24440,1,1,1,1,2,1,1,2
40152,1,1,1,1,2,1,1,2
45078,1,1,1,1,2,1,1,2
96477,1,1,1,1,2,1,1,2
72640,1,1,1,1,2,1,1,2
31863,0,0,0,0,0,0,0,0
16006,1,2,1,1,2,1,1,2
44927,1,1,0,1,0,0,1,0
1165,1,1,0,1,0,0,1,0
85658,1,1,1,1,2,1,1,2
48160,1,1,1,1,2,1,1,2
67170,1,1,1,1,2,1,1,2
105431,1,1,1,1,2,1,1,2
36480,0,0,1,0,1,1,0,1
122888,1,1,1,1,2,1,1,2
15352,0,0,0,0,0,0,0,0
190911,1,1,1,1,2,1,1,2
87959,0,0,0,1,0,0,1,0
123753,1,1,1,1,2,1,1,2
39276,1,1,1,1,2,1,1,2
104734,1,1,1,1,2,1,1,2
117120,1,1,1,1,2,1,1,2
45076,1,2,0,1,0,0,1,0
27817,0,0,0,0,0,0,0,0
57600,1,1,0,1,0,1,1,2
151134,1,1,1,1,2,1,1,2
168124,1,1,1,1,2,1,1,2
100416,0,0,1,0,1,0,0,0
14028,1,1,1,1,2,0,1,0
36328,0,0,0,0,0,0,0,0
62597,1,1,1,1,2,1,1,2
71705,1,1,1,1,2,1,1,2
48614,1,1,1,1,2,1,1,2
18492,0,0,0,0,0,0,0,0
11054,1,1,1,1,2,1,1,2
108963,1,1,0,1,0,0,1,0
61148,1,1,1,1,2,1,1,2
139935,1,1,1,1,2,1,1,2
161051,1,1,0,1,0,0,1,0
135703,0,0,0,1,0,0,1,0
178321,1,1,1,1,2,1,1,2
146274,1,1,1,1,2,1,1,2
105922,1,1,1,1,2,1,1,2
104103,1,1,1,1,2,1,1,2
59245,0,1,0,0,0,0,0,0
65320,0,0,0,0,0,0,0,0
136588,1,1,0,1,0,0,1,0
43494,0,0,0,0,0,0,0,0
37324,0,0,0,0,0,0,0,0
27783,1,1,1,1,2,1,1,2
110826,1,1,1,1,2,1,1,2
53313,1,1,0,1,0,0,1,0
96681,1,1,1,1,2,1,1,2
65611,1,1,1,1,2,1,1,2
78523,1,1,1,1,2,1,1,2
85935,0,0,1,0,1,1,0,1
42028,1,1,1,1,2,1,1,2
80865,0,0,0,0,0,0,0,0
104662,1,1,0,1,0,0,1,0
18226,1,2,1,1,2,1,1,2
127460,1,1,1,1,2,1,1,2
9624,1,1,1,1,2,1,1,2
68560,1,1,1,1,2,1,1,2
4686,0,0,0,0,0,0,0,0
195231,1,1,1,1,2,1,1,2
128370,1,1,1,1,2,1,1,2
140117,0,0,0,0,0,0,0,0
52481,0,0,0,0,0,0,0,0
65949,1,1,1,1,2,1,1,2
111740,0,0,0,0,0,0,0,0
80966,1,1,1,1,2,1,1,2
178764,1,1,1,1,2,1,1,2
15919,1,1,0,1,0,0,1,0
72331,1,1,1,1,2,1,1,2
13821,1,1,1,1,2,1,1,2
135678,1,1,1,1,2,1,1,2
155261,1,1,1,1,2,1,1,2
13359,0,0,0,0,0,1,0,1
163375,1,1,0,1,0,0,1,0
75189,1,1,1,1,2,1,1,2
142106,0,0,0,0,0,0,0,0
127171,1,1,1,1,2,1,1,2
55213,1,1,1,1,2,1,1,2
475,0,0,0,0,0,0,0,0
85769,1,2,1,1,2,1,1,2
60235,1,2,1,1,2,1,1,2
44932,1,2,1,1,2,1,1,2
83258,1,1,1,1,2,1,1,2
172265,0,0,0,0,0,1,0,1
169498,1,1,1,1,2,1,1,2
68198,1,1,1,1,2,1,1,2
34773,1,1,1,1,2,1,1,2
134814,1,1,1,1,2,1,1,2
37582,0,0,1,0,1,1,0,1
141766,0,0,0,0,0,0,0,0
106771,0,0,0,0,0,1,0,1
123625,1,1,1,1,2,1,1,2
36465,1,2,1,1,2,1,1,2
53270,0,0,0,0,0,0,0,0
74912,0,0,0,0,0,1,0,1
128604,1,1,1,1,2,1,1,2
112219,0,0,0,0,0,0,0,0
24685,0,0,0,0,0,1,0,1
105869,1,1,0,1,0,0,1,0
7372,1,1,1,1,2,1,1,2
69203,1,1,1,1,2,1,1,2
12629,1,1,0,1,0,0,1,0
166444,1,1,1,1,2,1,1,2
25382,1,1,1,1,2,1,1,2
61865,1,2,1,1,2,1,1,2
30079,0,0,0,0,0,0,0,0
111799,1,1,1,1,2,1,1,2
96249,1,1,1,1,2,1,1,2
168019,1,1,1,1,2,1,1,2
68048,1,1,1,1,2,1,1,2
122408,1,1,1,1,2,1,1,2
24813,1,1,1,1,2,1,1,2
9785,1,2,1,1,2,1,1,2
36004,1,1,1,1,2,1,1,2
44711,1,2,1,1,2,1,1,2
100052,1,1,1,1,2,1,1,2
16953,1,1,0,1,0,0,1,0
150060,1,1,1,1,2,1,1,2
21047,1,1,1,1,2,1,1,2
11264,1,1,0,1,0,0,1,0
107633,1,1,1,1,2,1,1,2
138888,1,1,1,1,2,1,1,2
143712,1,1,0,1,0,1,1,2
7863,0,0,1,0,1,1,0,1
60398,1,1,0,1,0,0,1,0
127822,1,1,1,1,2,1,1,2
4081,1,1,1,1,2,1,1,2
88765,1,1,1,1,2,1,1,2
22903,0,0,0,0,0,0,0,0
175990,1,1,1,1,2,1,1,2
20445,1,1,1,1,2,1,1,2
37503,1,1,0,1,0,1,1,2
1962,1,1,1,1,2,1,1,2
7654,0,0,0,0,0,0,0,0
14083,1,1,1,1,2,1,1,2
84543,1,1,1,1,2,1,1,2
80496,0,0,0,0,0,0,0,0
108477,1,1,1,1,2,1,1,2
104684,0,0,0,1,0,0,1,0
